gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,raisedhands
M,KW,KuwaIT,lowerlevel,G-04,A,15
M,KW,KuwaIT,lowerlevel,G-04,A,20
M,KW,KuwaIT,lowerlevel,G-04,A,10
M,KW,KuwaIT,lowerlevel,G-04,A,30
M,KW,KuwaIT,lowerlevel,G-04,A,40
F,KW,KuwaIT,lowerlevel,G-04,A,42
M,KW,KuwaIT,MiddleSchool,G-07,A,35
M,KW,KuwaIT,MiddleSchool,G-07,A,50
F,KW,KuwaIT,MiddleSchool,G-07,A,12
F,KW,KuwaIT,MiddleSchool,G-07,B,70
M,KW,KuwaIT,MiddleSchool,G-07,A,50
M,KW,KuwaIT,MiddleSchool,G-07,B,19
M,KW,KuwaIT,lowerlevel,G-04,A,5
M,lebanon,lebanon,MiddleSchool,G-08,A,
F,KW,KuwaIT,MiddleSchool,G-08,A,62
F,KW,KuwaIT,MiddleSchool,G-06,A,30
M,KW,KuwaIT,MiddleSchool,G-07,B,36
M,KW,KuwaIT,MiddleSchool,G-07,A,55
F,KW,KuwaIT,MiddleSchool,G-07,A,69
M,KW,KuwaIT,MiddleSchool,G-07,B,70
F,KW,KuwaIT,MiddleSchool,G-07,A,60
F,KW,KuwaIT,MiddleSchool,G-07,B,
M,KW,KuwaIT,MiddleSchool,G-07,A,15
M,KW,KuwaIT,MiddleSchool,G-07,A,2
M,KW,KuwaIT,MiddleSchool,G-07,B,0
M,KW,KuwaIT,MiddleSchool,G-07,A,8
M,KW,KuwaIT,MiddleSchool,G-07,B,19
M,KW,KuwaIT,MiddleSchool,G-08,A,25
M,KW,KuwaIT,MiddleSchool,G-08,A,75
F,KW,KuwaIT,MiddleSchool,G-08,A,30
F,KW,KuwaIT,MiddleSchool,G-08,A,35
M,KW,KuwaIT,MiddleSchool,G-07,A,4
F,KW,KuwaIT,lowerlevel,G-07,A,2
M,KW,KuwaIT,lowerlevel,G-05,A,8
M,KW,KuwaIT,MiddleSchool,G-07,B,12
M,KW,KuwaIT,MiddleSchool,G-07,A,10
M,KW,KuwaIT,MiddleSchool,G-07,B,
F,Egypt,Egypt,MiddleSchool,G-07,A,45
M,KW,KuwaIT,MiddleSchool,G-06,A,0
F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,50
F,KW,KuwaIT,MiddleSchool,G-07,A,14
M,KW,KuwaIT,MiddleSchool,G-07,A,19
M,KW,KuwaIT,HighSchool,G-09,A,10
F,KW,KuwaIT,HighSchool,G-09,A,30
F,KW,KuwaIT,HighSchool,G-09,A,33
M,KW,KuwaIT,MiddleSchool,G-07,A,20
M,KW,KuwaIT,lowerlevel,G-05,A,7
F,KW,KuwaIT,HighSchool,G-12,A,70
F,KW,KuwaIT,HighSchool,G-12,A,
F,KW,KuwaIT,HighSchool,G-12,A,29
F,KW,KuwaIT,HighSchool,G-12,A,20
M,KW,KuwaIT,HighSchool,G-12,A,39
F,KW,KuwaIT,HighSchool,G-12,A,55
F,KW,KuwaIT,HighSchool,G-11,A,49
M,KW,KuwaIT,HighSchool,G-12,A,12
M,KW,KuwaIT,MiddleSchool,G-07,A,16
M,USA,USA,MiddleSchool,G-08,B,19
M,KW,KuwaIT,MiddleSchool,G-07,A,5
M,KW,KuwaIT,MiddleSchool,G-07,A,28
F,USA,USA,MiddleSchool,G-07,A,27
F,Jordan,Jordan,lowerlevel,G-05,A,21
M,KW,KuwaIT,HighSchool,G-10,A,
M,venzuela,venzuela,HighSchool,G-10,A,80
M,KW,KuwaIT,HighSchool,G-10,A,17
M,KW,KuwaIT,HighSchool,G-10,A,0
M,KW,KuwaIT,HighSchool,G-12,A,13
F,KW,KuwaIT,HighSchool,G-12,A,25
F,USA,USA,HighSchool,G-12,A,65
F,USA,USA,HighSchool,G-12,A,70
M,Jordan,Jordan,MiddleSchool,G-07,A,39
M,Jordan,Jordan,MiddleSchool,G-07,A,22
M,KW,KuwaIT,MiddleSchool,G-07,A,29
M,KW,KuwaIT,MiddleSchool,G-07,A,11
F,KW,KuwaIT,MiddleSchool,G-07,A,
M,KW,KuwaIT,MiddleSchool,G-07,B,12
M,Jordan,Jordan,MiddleSchool,G-07,A,50
M,Iran,Iran,HighSchool,G-09,A,15
M,KW,KuwaIT,HighSchool,G-09,A,20
M,KW,KuwaIT,HighSchool,G-11,A,13
F,lebanon,lebanon,MiddleSchool,G-07,B,80
M,KW,KuwaIT,MiddleSchool,G-07,A,8
M,KW,KuwaIT,lowerlevel,,A,8
M,KW,KuwaIT,lowerlevel,G-02,,7
M,KW,KuwaIT,lowerlevel,G-02,B,7
M,KW,KuwaIT,lowerlevel,G-02,B,50
M,KW,KuwaIT,lowerlevel,G-02,B,1
M,SaudiArabia,SaudiArabia,lowerlevel,G-02,B,70
M,KW,KuwaIT,lowerlevel,G-02,B,19
F,KW,KuwaIT,lowerlevel,G-02,B,3
M,KW,KuwaIT,lowerlevel,G-02,B,5
M,KW,KuwaIT,lowerlevel,G-02,B,4
M,KW,KuwaIT,lowerlevel,,B,80
F,KW,KuwaIT,lowerlevel,G-02,B,50
M,USA,USA,lowerlevel,G-02,,55
F,KW,KuwaIT,lowerlevel,G-02,B,80
F,KW,KuwaIT,lowerlevel,G-02,B,100
F,KW,KuwaIT,lowerlevel,G-02,C,14
F,KW,KuwaIT,lowerlevel,G-02,B,6
F,KW,KuwaIT,lowerlevel,G-02,C,
M,KW,KuwaIT,lowerlevel,G-02,B,50
